650742.47	9387656.76	650744.30	9387628.98
650744.31	9387656.02	650744.78	9387628.45
650740.68	9387659.24	650741.71	9387648.92
650750.27	9387655.80	650749.21	9387607.44
650752.26	9387629.22	650753.22	9387609.22
650757.27	9387627.47	650759.34	9387612.21
650760.23	9387629.31	650764.05	9387616.72
650744.51	9387627.03	650744.47	9387610.19
650740.22	9387641.19	650743.16	9387612.77
650739.72	9387630.83	650741.99	9387608.46
650736.72	9387630.94	650736.07	9387649.99
650718.72	9387645.87	650718.84	9387655.40
650720.96	9387612.87	650721.71	9387569.20
650700.50	9387566.88	650696.90	9387604.19
650723.61	9387618.29	650733.27	9387599.16
650724.39	9387614.18	650728.82	9387591.91
650716.69	9387610.99	650736.70	9387600.21
650728.07	9387632.22	650734.53	9387609.62
650708.97	9387669.84	650707.00	9387640.16
650706.85	9387665.79	650701.97	9387654.01
650714.55	9387691.71	650711.24	9387673.41
650772.85	9387683.74	650772.23	9387667.01
650770.43	9387686.90	650771.94	9387658.27
650772.98	9387674.48	650773.74	9387661.43
650780.21	9387675.25	650776.96	9387661.00
650775.14	9387670.32	650778.63	9387652.89
650776.64	9387657.74	650775.59	9387639.32
650772.69	9387660.53	650774.23	9387641.17
650780.99	9387669.41	650783.62	9387645.93
650785.32	9387695.02	650787.34	9387636.03
650778.28	9387659.79	650779.96	9387637.52
650777.41	9387651.16	650776.44	9387639.00
650711.10	9387620.46	650712.51	9387595.71
650736.42	9387782.30	650715.14	9387757.62
650715.93	9387786.95	650712.78	9387761.57
650705.86	9387791.58	650710.14	9387729.94
650721.53	9387754.45	650719.27	9387718.47
650702.16	9387759.49	650705.37	9387721.13
650724.43	9387788.84	650733.84	9387769.99
650741.87	9387789.74	650746.04	9387764.87
650717.73	9387782.73	650717.81	9387767.54
650715.83	9387799.20	650705.40	9387786.35
650716.33	9387793.67	650708.86	9387778.18
650708.03	9387829.13	650699.96	9387794.06
650667.19	9387767.18	650665.98	9387702.85
650668.58	9387756.04	650686.96	9387724.11
650691.07	9387723.84	650683.61	9387736.91
650663.69	9387761.16	650655.41	9387784.54
650653.17	9387773.23	650653.65	9387800.38
650622.92	9387777.88	650609.28	9387763.49
650600.27	9387787.67	650598.17	9387768.83
650593.16	9387770.63	650599.79	9387761.15
650599.58	9387763.67	650592.40	9387784.16
650560.43	9388009.45	650562.87	9388038.45
650562.69	9388028.62	650560.92	9388018.96
650567.30	9388040.06	650563.30	9388005.38
650555.28	9388042.81	650549.90	9387921.31
650548.95	9387917.68	650545.63	9387936.51
